min_Dtotal,row_distance,column_distance
0.326548736597038,0.326548736597038,0
0.326548736597037,0.326548736597037,0
0.325891110256739,0.325891110256739,0
0.326479334900789,0.326479334900789,0
0.327067559544837,0.327067559544837,0
0.326479334900787,0.326479334900787,0
0.327067559544837,0.327067559544837,0
0.327067559544835,0.327067559544835,0
0.326548736597035,0.326548736597035,0
0.326548736597037,0.326548736597037,0
0.326548736597037,0.326548736597037,0
0.327067559544837,0.327067559544837,0
0.327067559544833,0.327067559544833,0
0.326573629699318,0.326573629699318,0
0.327136961241084,0.327136961241084,0
0.325821708560492,0.325821708560492,0
0.327136961241084,0.327136961241084,0
0.326927704088172,0.326927704088172,0
0.326479334900789,0.326479334900789,0
0.326479334900789,0.326479334900789,0
0.326469146482122,0.326469146482122,0
0.326479334900789,0.326479334900789,0
0.326643031395568,0.326643031395568,0
0.326469146482122,0.326469146482122,0
0.327067559544838,0.327067559544838,0
