min_Dtotal,row_distance,column_distance,row_hamming
20.3638819791047,14.8444444444445,5.51943753466022,4
20.3638819791047,14.8444444444445,5.51943753466022,4
20.9793794954391,15.5,5.47937949543908,4
20.9793794954391,15.5,5.47937949543908,4
20.3638819791047,14.8444444444444,5.51943753466022,4
20.9793794954391,15.5,5.47937949543908,4
20.9793794954391,15.5,5.47937949543908,4
20.3638819791047,14.8444444444445,5.51943753466022,4
20.3638819791047,14.8444444444445,5.51943753466022,4
20.3638819791047,14.8444444444444,5.51943753466022,4
20.3638819791047,14.8444444444444,5.51943753466022,4
20.3638819791047,14.8444444444444,5.51943753466022,4
20.3638819791047,14.8444444444445,5.51943753466022,4
20.9793794954391,15.5,5.47937949543908,4
20.3638819791047,14.8444444444444,5.51943753466022,4
20.3638819791047,14.8444444444445,5.51943753466022,4
20.3638819791047,14.8444444444445,5.51943753466022,4
20.9793794954391,15.5,5.47937949543908,4
20.3638819791047,14.8444444444445,5.51943753466022,4
20.3638819791047,14.8444444444445,5.51943753466022,4
