min_Dtotal,row_distance,column_distance,row_hamming
16.1077777777778,16.1077777777778,0,4
14.8444444444444,14.8444444444444,0,4
15.5,15.5,0,4
14.8444444444445,14.8444444444445,0,4
14.8444444444444,14.8444444444444,0,4
14.8444444444445,14.8444444444445,0,4
14.8444444444444,14.8444444444444,0,4
14.8444444444445,14.8444444444445,0,4
15.5,15.5,0,4
14.8444444444445,14.8444444444445,0,4
15.5,15.5,0,4
15.5,15.5,0,4
15.5,15.5,0,4
14.8444444444445,14.8444444444445,0,4
15.5,15.5,0,4
14.8444444444444,14.8444444444444,0,4
14.8444444444445,14.8444444444445,0,4
15.5,15.5,0,4
14.8444444444445,14.8444444444445,0,4
15.5,15.5,0,4
