min_Dtotal,row_distance,column_distance
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.214401960805,0.739889807162534,112.474512153643
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.100307691306,0.739889807162534,112.360417884144
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.49608984739,0.741306312180438,112.754783535209
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.196187320759,0.737249770431589,112.458937550327
113.100307691306,0.739889807162534,112.360417884144
113.49608984739,0.741306312180438,112.754783535209
113.214401960805,0.739889807162534,112.474512153643
113.196187320759,0.737249770431589,112.458937550327
113.100307691306,0.739889807162534,112.360417884144
113.328496230304,0.739889807162534,112.588606423142
113.196187320759,0.737249770431589,112.458937550327
